Threshold,MCC,Precision,Recall,True_F1,False_F1,TN,FP,FN,TP,CV_AUC_PR,CV_AUC_ROC
0.1,0.34170249859525315,0.993242520672742,0.9994067232218419,0.9963150875565349,0.2723282442748092,1427,7014,612,1030947,0.9992952205637703,0.944348176460624
0.2,0.3605121895411675,0.9934396621430822,0.9992564652143019,0.9963395738749772,0.3014204021398266,1634,6807,767,1030792,0.9992952205637703,0.944348176460624
0.3,0.3751395306550311,0.9936186663890078,0.9990945743287587,0.9963490965548677,0.32544431544163616,1822,6619,934,1030625,0.9992952205637703,0.944348176460624
0.4,0.3863415939782598,0.993801280252154,0.9988764578662006,0.9963324060402652,0.3468228000688824,2014,6427,1159,1030400,0.9992952205637703,0.944348176460624
0.5,0.3918297289090733,0.9940013896394657,0.9985119610221035,0.9962515699059725,0.3647242029341857,2225,6216,1535,1030024,0.9992952205637703,0.944348176460624
0.6,0.40461708494156506,0.9943168921783863,0.997970062788459,0.996140128152777,0.3906202260922701,2557,5884,2094,1029465,0.9992952205637703,0.944348176460624
0.7,0.42347663208308256,0.9948221010101401,0.9969996868817004,0.9959097036084471,0.4223194748358862,3088,5353,3095,1028464,0.9992952205637703,0.944348176460624
0.8,0.4281842546927391,0.9955312314144924,0.9947109181345904,0.9951209057212739,0.43255131964809385,3835,4606,5456,1026103,0.9992952205637703,0.944348176460624
0.9,0.39390149503504013,0.9967004069400167,0.9865320354919108,0.9915901537274298,0.3701379260016055,5072,3369,13893,1017666,0.9992952205637703,0.944348176460624
0.95,0.3217476456077343,0.9976744697791097,0.9669316054631872,0.982062499907696,0.25133041566500236,6116,2325,34112,997447,0.9992952205637703,0.944348176460624
0.99,0.15111593659110054,0.9992419593545825,0.7782182114643952,0.8749881467901508,0.0639206052543521,7832,609,228781,802778,0.9992952205637703,0.944348176460624
